file	Hashtable, ListDelegate	delegates
file	Hashtable	user properties
file	Hashtable	inherited properties
method	boolean	inherited
method	boolean	user
method	boolean	is new
var	boolean	subst
var	Object	v
var	PropertySetter	setter
var	PropertyEvaluator	evaluator
var	Object	arg
var	int	prev
var	int	end name
method	Delegate	delegate
var	Class	key
method	Delegate	d
var	HashSet	result
var	Class[]	ifs
var	Class	delegate interface
var	Boolean	b
file	Hashtable	empty hashtable
file	String	element tag
file	ArrayList	children
file	Object	wrapped object
file	AttributeList	attributes
file	boolean	namespaced attribute
file	LinkedHashMap	attribute map
file	StringBuffer	characters
file	boolean	proxy configured
method	Object	proxy
method	EnableAttribute	b
file	boolean	restricted
method	UnknownElement	owner
var	AttributeComponentInformation	attribute component information
var	EnableAttribute	enable
method	String	a
var	int	p1
var	int	p2
method	IntrospectionHelper.Creator	creator
var	LinkedHashMap	new attribute map
method	RuntimeConfigurable	child
method	boolean	configure children
var	Object	attr value
var	Attribute	attr
var	ArrayList	new children
file	String	if string
file	String	unless string
file	Condition	if condition
file	Condition	unless condition
file	List	dependencies
file	List	children
method	String	dep s
var	String	dep
var	StringTokenizer	tok
var	List	tasks
method	String	dependency
