Domain	Type	Name
var	ClassLoader	classLoader
var	Enumeration<URL>	resources
var	URL	resource
var	URLConnection	conn
var	ArgumentProcessor	processor
var	InputStream	systemResource
var	ArgumentProcessor	processor
method	String	helperClassName
method	Class<? extends ArgumentProcessor>	helperClass
method	String	helperClassName
var	Class<? extends ArgumentProcessor>	cl
method	Class<? extends ArgumentProcessor>	processorClass
var	ArgumentProcessor	processor
method	ArgumentProcessor	processor
method	InputStream	is
var	InputStreamReader	isr
var	BufferedReader	rd
var	String	processorClassName
file	boolean	positive
method	boolean	positive
method	boolean	val
method	UnknownElement	el
var	Map	ret
var	RuntimeConfigurable	rc
var	Map	attributes
var	Map.Entry	entry
var	String	key
var	String	value
var	int	pos
var	Iterator	i
method	UnknownElement	el
method	String	value
method	UnknownElement	el
method	String	value
method	UnknownElement	el
method	String	value
method	UnknownElement	el
method	String	value
file	long	serialVersionUID
file	Project	project
file	Target	target
file	Task	task
file	String	message
file	int	priority
file	Throwable	exception
method	String	message
method	int	priority
method	Throwable	exception
file	long	serialVersionUID
file	Location	location
method	Location	location
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	int	level
method	PrintStream	output
method	boolean	emacsMode
method	PrintStream	err
file	Map<String, List<AntTypeDefinition>>	restrictedDefinitions
file	Hashtable<String, AntTypeDefinition>	antTypeTable
file	Hashtable<String, Class<?>>	taskClassDefinitions
file	boolean	rebuildTaskClassDefinitions
file	Hashtable<String, Class<?>>	typeClassDefinitions
file	boolean	rebuildTypeClassDefinitions
file	HashSet<String>	checkedNamespaces
file	Stack<String>	antLibStack
file	String	antLibCurrentUri
file	ComponentHelper	next
file	Project	project
file	String	ERROR_NO_TASK_LIST_LOAD
file	String	ERROR_NO_TYPE_LIST_LOAD
file	String	COMPONENT_HELPER_REFERENCE
file	String	BUILD_SYSCLASSPATH_ONLY
file	String	ANT_PROPERTY_TASK
file	Properties[]	defaultDefinitions
method	Project	project
var	ComponentHelper	ph
method	ComponentHelper	next
method	Project	project
var	Set<String>	result
var	Map<String, List<AntTypeDefinition>>	result
var	List<AntTypeDefinition>	entryVal
var	Map.Entry<String, List<AntTypeDefinition>>	entry
method	ComponentHelper	helper
var	Hashtable<String, AntTypeDefinition>	typeTable
var	AntTypeDefinition	def
var	Set<String>	inheritedCheckedNamespace
var	Map<String, List<AntTypeDefinition>>	inheritedRestrictedDef
method	UnknownElement	ue
method	String	ns
method	String	componentType
var	Object	component
var	Task	task
method	String	componentName
var	AntTypeDefinition	def
method	String	componentName
var	AntTypeDefinition	def
method	String	componentName
method	String	taskName
method	Class<?>	taskClass
var	AntTypeDefinition	def
method	Class<?>	taskClass
var	String	message
var	String	message
var	String	message
var	Class<?>	clazz
var	Map.Entry<String, AntTypeDefinition>	e
var	Class<?>	clazz
var	Map.Entry<String, AntTypeDefinition>	e
method	String	componentName
method	String	typeName
method	Class<?>	typeClass
var	AntTypeDefinition	def
method	AntTypeDefinition	def
method	String	taskType
var	Task	task
method	String	taskType
var	Class<?>	c
var	Object	obj
var	Task	task
method	String	typeName
method	Object	element
method	Object	o
method	boolean	brief
var	Class<?>	elementClass
var	String	elementClassname
var	String	name
var	AntTypeDefinition	def
method	Project	p
method	Object	o
method	boolean	brief
method	Class<?>	c
method	boolean	brief
var	String	name
method	AntTypeDefinition	def
method	AntTypeDefinition	def
method	AntTypeDefinition	old
var	boolean	defValid
var	boolean	sameValidity
method	AntTypeDefinition	def
var	String	name
var	List<AntTypeDefinition>	list
var	AntTypeDefinition	current
var	Iterator<AntTypeDefinition>	i
method	AntTypeDefinition	def
var	String	name
var	AntTypeDefinition	old
var	Class<?>	oldClass
var	boolean	isTask
method	String	uri
var	ClassLoader	classLoader
var	Properties	props
var	Enumeration<?>	e
var	String	name
var	String	className
var	AntTypeDefinition	def
method	ClassLoader	classLoader
var	String	buildSysclasspath
method	boolean	type
var	int	idx
var	String	resource
var	String	errorString
var	InputStream	in
var	Properties	p
var	ClassLoader	classLoader
var	Properties	props
var	Enumeration<?>	e
var	String	name
var	String	className
var	AntTypeDefinition	def
method	String	componentName
var	String	uri
var	Typedef	definer
method	String	componentName
method	String	type
var	StringWriter	errorText
var	PrintWriter	out
var	boolean	lowlevel
var	boolean	jars
var	boolean	definitions
var	boolean	antTask
var	String	home
var	File	libDir
var	String	antHomeLib
var	boolean	probablyIDE
var	String	anthome
var	File	antHomeLibDir
var	StringBuffer	dirListingText
var	String	tab
var	String	dirListing
var	AntTypeDefinition	def
var	String	classname
var	boolean	optional
var	Class<?>	clazz
var	Throwable	t
method	PrintWriter	out
method	String	componentName
method	String	dirListing
var	boolean	isAntlib
var	String	uri
var	List<AntTypeDefinition>	matches
var	String	local
var	AntTypeDefinition	def
method	PrintWriter	out
method	String	classname
method	boolean	optional
method	String	dirListing
method	PrintWriter	out
method	boolean	optional
method	NoClassDefFoundError	ncdfe
method	String	dirListing
method	String	prefix
var	List<AntTypeDefinition>	result
var	AntTypeDefinition	def
file	String	IF_NAMESPACE
file	String	UNLESS_NAMESPACE
file	String	OATA
file	ComponentHelper	componentHelper
method	String	ns
var	AntTypeDefinition	def
method	String	name
method	String	base
var	String	classname
method	String	ns
method	String	name
method	String	classname
var	AntTypeDefinition	def
var	String	n
file	int	LEFT_COLUMN_SIZE
file	PrintStream	out
file	PrintStream	err
file	int	msgOutputLevel
file	long	startTime
file	String	lSep
file	boolean	emacsMode
method	int	level
method	PrintStream	output
method	PrintStream	err
method	boolean	emacsMode
method	BuildEvent	event
method	StringBuffer	m
method	Throwable	error
method	boolean	verbose
var	Throwable	cause
var	String	msg1
var	String	msg2
method	BuildEvent	event
var	Throwable	error
var	StringBuffer	message
var	String	msg
method	BuildEvent	event
var	String	msg
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
method	BuildEvent	event
var	int	priority
var	StringBuffer	message
var	String	name
var	String	label
var	int	size
var	StringBuffer	tmp
var	int	i
var	BufferedReader	r
var	String	line
var	boolean	first
var	Throwable	ex
var	String	msg
method	long	millis
method	String	message
method	PrintStream	stream
method	int	priority
method	String	message
var	Date	date
var	DateFormat	formatter
var	String	finishTime
method	BuildEvent	event
var	Project	project
file	int	MASK_8BIT
file	Project	project
var	byte[]	buffer
method	byte[]	buffer
method	int	offset
method	int	length
file	ByteArrayOutputStream	buffer
file	boolean	crSeen
file	int	MAX_SIZE
file	int	INITIAL_SIZE
file	int	CR
file	int	LF
file	WeakHashMap<Thread, BufferInfo>	buffers
file	Project	project
file	boolean	isErrorStream
var	Thread	current
var	BufferInfo	bufferInfo
var	Thread	current
var	BufferInfo	bufferInfo
var	Thread	current
method	int	cc
var	byte	c
var	BufferInfo	bufferInfo
method	ByteArrayOutputStream	buffer
var	String	output
method	ByteArrayOutputStream	buffer
var	String	output
var	BufferInfo	bufferInfo
method	byte[]	b
method	int	off
method	int	len
var	int	offset
var	int	blockStartOffset
var	int	remaining
var	BufferInfo	bufferInfo
var	int	blockLength
file	int	JAVA_1_5_NUMBER
file	int	BIG_DRIFT_LIMIT
file	int	TEST_FILE_SIZE
file	int	KILOBYTE
file	int	SECONDS_PER_MILLISECOND
file	int	SECONDS_PER_MINUTE
file	int	MINUTES_PER_HOUR
file	String	ERROR_PROPERTY_ACCESS_BLOCKED
var	String	home
var	File	libDir
method	File	libDir
var	FilenameFilter	filter
method	File	dir
method	String	name
var	File[]	files
method	String[]	args
method	Class<?>	clazz
method	Class<?>	clazz
var	SAXParser	saxParser
var	String	saxParserName
var	Transformer	transformer
var	String	processorName
var	SAXParserFactory	saxParserFactory
var	SAXParser	saxParser
var	TransformerFactory	transformerFactory
var	Transformer	transformer
var	SAXParser	saxParser
var	URL	location
var	XMLReader	reader
var	XMLReader	reader
var	URL	location
var	Transformer	transformer
var	URL	location
method	Throwable	thrown
method	PrintStream	out
method	PrintStream	out
method	int	logLevel
method	PrintStream	out
method	String	section
method	PrintStream	out
var	Properties	sysprops
var	String	key
var	String	value
var	Enumeration<?>	keys
method	String	key
var	String	value
method	PrintStream	out
var	Project	p
method	PrintStream	out
var	File[]	libs
method	PrintStream	out
var	String	home
var	File	libDir
var	File[]	libs
method	File[]	libs
method	PrintStream	out
var	int	i
method	PrintStream	out
var	Throwable	error
var	Class<?>	which
var	Method	method
method	PrintStream	out
var	InputStream	is
var	Properties	props
var	String	key
var	String	classname
var	String	pkg
var	Enumeration<?>	keys
method	PrintStream	out
var	String	parserName
var	String	parserLocation
method	PrintStream	out
var	String	processorName
var	String	processorLocation
method	PrintStream	out
method	String	parserType
method	String	parserName
method	String	parserLocation
method	PrintStream	out
var	String	tempdir
var	File	tempDirectory
var	long	now
var	File	tempFile
var	FileOutputStream	fileout
var	FileInputStream	filein
var	byte[]	buffer
var	int	i
var	int	total
var	int	read
var	long	filetime
var	long	drift
method	PrintStream	out
var	Calendar	cal
var	TimeZone	tz
method	PrintStream	out
method	String	key
var	String	value
method	PrintStream	out
var	ProxyDiagnostics	proxyDiag
file	boolean	ON_VMS
file	String[]	DEFAULTEXCLUDES
file	int	MAX_LEVELS_OF_SYMLINKS
file	String	DOES_NOT_EXIST_POSTFIX
file	FileUtils	FILE_UTILS
file	SymbolicLinkUtils	SYMLINK_UTILS
file	Set<String>	defaultExcludes
file	File	basedir
file	String[]	includes
file	String[]	excludes
file	FileSelector[]	selectors
file	Vector<String>	filesIncluded
file	Vector<String>	filesNotIncluded
file	Vector<String>	filesExcluded
file	Vector<String>	dirsIncluded
file	Vector<String>	dirsNotIncluded
file	Vector<String>	dirsExcluded
file	Vector<String>	filesDeselected
file	Vector<String>	dirsDeselected
file	boolean	haveSlowResults
file	boolean	isCaseSensitive
file	boolean	errorOnMissingDir
file	boolean	followSymlinks
file	boolean	everythingIncluded
file	Set<String>	scannedDirs
file	Map<String, TokenizedPath>	includeNonPatterns
file	Map<String, TokenizedPath>	excludeNonPatterns
file	TokenizedPattern[]	includePatterns
file	TokenizedPattern[]	excludePatterns
file	boolean	areNonPatternSetsReady
file	boolean	scanning
file	Object	scanLock
file	boolean	slowScanning
file	Object	slowScanLock
file	IllegalStateException	illegal
file	int	maxLevelsOfSymlinks
file	Set<String>	notFollowedSymlinks
method	String	pattern
method	String	str
method	String	pattern
method	String	str
method	boolean	isCaseSensitive
method	String	pattern
method	String	str
method	String	pattern
method	String	str
method	boolean	isCaseSensitive
method	String	pattern
method	String	str
method	String	pattern
method	String	str
method	boolean	isCaseSensitive
method	String	s
method	String	s
var	int	i
method	String	basedir
method	File	basedir
method	boolean	isCaseSensitive
method	boolean	errorOnMissingDir
method	boolean	followSymlinks
method	int	max
method	String[]	includes
var	int	i
method	String[]	excludes
var	int	i
method	String[]	excludes
var	String[]	tmp
var	int	i
method	String	p
var	String	pattern
method	FileSelector[]	selectors
var	File	savedBase
var	boolean	nullIncludes
var	boolean	nullExcludes
var	Map<TokenizedPath, String>	newroots
var	String	pattern
var	int	i
var	String	pattern
var	Map.Entry<String, TokenizedPath>	entry
var	File	canonBase
var	TokenizedPath	currentPath
var	String	currentelement
var	File	myfile
var	String	path
var	File	f
var	String	originalpattern
var	boolean	included
var	Map.Entry<TokenizedPath, String>	entry
method	String	pattern
var	boolean	nullIncludes
var	boolean	nullExcludes
var	String[]	excl
var	String[]	notIncl
method	String[]	arr
var	TokenizedPath	path
var	int	i
method	File	dir
method	String	vpath
method	boolean	fast
method	File	dir
method	TokenizedPath	path
method	boolean	fast
var	String[]	newfiles
method	File	dir
method	TokenizedPath	path
method	boolean	fast
method	String[]	newfiles
method	LinkedList<String>	directoryNamesFollowed
var	String	vpath
var	ArrayList<String>	noLinks
var	String	msg
var	String	name
var	File	file
var	int	i
var	String	name
var	TokenizedPath	newPath
var	File	file
var	String[]	children
var	int	i
method	TokenizedPath	name
method	File	file
method	TokenizedPath	name
method	File	file
method	boolean	fast
method	TokenizedPath	name
method	File	file
method	boolean	fast
method	String[]	children
method	LinkedList<String>	directoryNamesFollowed
method	String	name
method	File	file
method	TokenizedPath	name
method	File	file
method	TokenizedPath	path
method	File	file
method	Vector<String>	inc
method	Vector<String>	exc
method	Vector<String>	des
var	String	name
var	boolean	included
method	String	name
method	TokenizedPath	path
var	int	i
method	String	name
method	TokenizedPath	tokenizedName
var	int	i
var	Iterator<TokenizedPath>	iter
method	TokenizedPath	tokenizedName
method	TokenizedPattern	tokenizedInclude
method	TokenizedPattern	pattern
method	TokenizedPath	name
method	String	name
var	String	soughtexclude
var	int	counter
method	TokenizedPath	path
var	int	i
method	String	name
method	TokenizedPath	name
var	int	i
method	String	name
method	File	file
var	int	i
var	String[]	files
var	String[]	files
var	String[]	files
var	String[]	files
var	String[]	directories
var	String[]	directories
var	String[]	directories
var	String[]	directories
var	String[]	links
var	int	excludesLength
var	String[]	newExcludes
var	String[]	defaultExcludesTemp
var	int	i
method	String	name
method	String	vpath
method	Map<String, TokenizedPath>	map
method	String[]	patterns
var	ArrayList<TokenizedPattern>	al
var	String	s
var	int	i
method	String	dirName
method	File	parent
method	LinkedList<String>	directoryNamesFollowed
var	ArrayList<String>	files
var	File	f
var	String	target
var	String	relPath
var	String	dir
file	String	action
method	String	action
method	Object	task
var	String	methodName
var	Dispatchable	dispatchable
var	Throwable	t
var	UnknownElement	ue
var	Object	realThing
var	Method	executeM
var	String	mName
var	String	name
var	Class<? extends Dispatchable>	c
var	Method	actionM
var	Object	o
var	String	s
var	Method	executeM
method	String	name
method	String	value
method	String	uri
method	String	localName
method	String	qName
method	String	value
method	String	name
method	String	uri
method	String	localName
method	String	qName
method	String	name
method	Object	value
method	Project	project
method	String[]	targetNames
file	long	serialVersionUID
file	int	status
file	long	serialVersionUID
file	int	status
file	String	NO_CHILDREN_ALLOWED
method	Task	task
method	RuntimeConfigurable	r
method	String	basedir
method	File	basedir
method	String[]	excludes
method	String[]	includes
method	boolean	isCaseSensitive
file	int	BUFFER_SIZE
file	boolean	initialized
file	Project	project
method	char[]	cbuf
method	int	off
method	int	len
var	int	ch
var	int	i
method	long	n
var	long	i
method	boolean	initialized
method	Project	project
var	int	ch
var	StringBuffer	line
file	Parameter[]	parameters
method	Parameter[]	parameters
method	Reader	rdr
file	String	queuedData
file	String	JAVA_CLASS_HELPER
var	int	ch
var	String	clazz
var	byte[]	bytes
var	Throwable	t
var	Class<?>	javaClassHelper
var	Class<?>[]	params
var	Method	getConstants
var	Object[]	args
var	StringBuffer	sb
method	Reader	rdr
var	ClassConstants	newFilter
file	File	prepend
file	File	append
file	Reader	prependReader
file	Reader	appendReader
var	int	ch
method	File	prepend
method	File	append
method	Reader	rdr
var	ConcatFilter	newFilter
var	Parameter[]	params
var	int	i
file	StringBuffer	unicodeBuf
var	int	ch
var	char	achar
method	Reader	rdr
var	EscapeUnicode	newFilter
file	int	EOF
file	char[]	buffer
file	int	index
file	PropertySet	propertySet
method	PropertySet	propertySet
var	String	data
var	Project	project
var	GetProperty	getProperty
var	Properties	props
method	String	name
var	Object	expanded
method	Reader	rdr
var	ExpandProperties	newFilter
file	int	DEFAULT_TAB_LENGTH
file	int	MIN_TAB_LENGTH
file	int	MAX_TAB_LENGTH
file	char	CTRLZ
file	int	tabLength
file	CrLf	eol
file	AddAsisRemove	ctrlz
file	AddAsisRemove	tabs
file	boolean	javafiles
file	boolean	fixlast
file	boolean	initialized
method	Reader	rdr
var	FixCrLfFilter	newFilter
method	CrLf	eol
method	AddAsisRemove	attr
method	CrLf	attr
method	boolean	fixlast
method	boolean	javafiles
method	AddAsisRemove	attr
method	int	tabLength
file	int	PREEMPT_BUFFER_LENGTH
file	Reader	in
file	int[]	preempt
file	int	preemptIndex
method	char	c
method	int	c
var	int[]	p2
method	char[]	cs
method	int	start
method	int	length
var	int	i
method	char[]	cs
method	int	i
method	long	i
method	char[]	buf
method	char[]	buf
method	int	start
method	int	length
var	int	count
var	int	c
file	boolean	editsBlocked
file	int	JAVA
file	int	IN_CHAR_CONST
file	int	IN_STR_CONST
file	int	IN_SINGLE_COMMENT
file	int	IN_MULTI_COMMENT
file	int	TRANS_TO_COMMENT
file	int	TRANS_FROM_MULTI
file	int	state
var	int	thisChar
file	boolean	previousWasEOL
file	boolean	fixLast
file	int	normalizedEOL
file	char[]	eol
var	int	thisChar
var	int	numEOL
var	boolean	atEnd
var	int	c
var	int	c1
var	int	c2
file	int	lastChar
var	int	thisChar
file	int	lookAhead
var	int	lookAhead2
var	int	i
file	int	columnNumber
file	int	tabLength
var	int	c
var	int	colNextTab
var	int	countSpaces
var	int	numTabs
file	int	columnNumber
file	int	tabLength
var	int	c
var	int	width
file	AddAsisRemove	ASIS
file	AddAsisRemove	ADD
file	AddAsisRemove	REMOVE
method	Object	other
method	String	value
var	AddAsisRemove	a
file	CrLf	ASIS
file	CrLf	CR
file	CrLf	CRLF
file	CrLf	DOS
file	CrLf	LF
file	CrLf	MAC
file	CrLf	UNIX
method	Object	other
method	String	value
var	CrLf	c
file	String	LINES_KEY
file	String	SKIP_KEY
file	long	linesRead
file	int	DEFAULT_NUM_LINES
file	long	lines
file	long	skip
file	LineTokenizer	lineTokenizer
file	String	line
file	int	linePos
file	boolean	eof
var	int	ch
method	long	lines
method	long	skip
method	Reader	rdr
var	HeadFilter	newFilter
var	Parameter[]	params
var	int	i
method	String	line
file	String	CONTAINS_KEY
file	String	NEGATE_KEY
file	Vector<String>	contains
file	String	line
file	boolean	negate
var	int	ch
var	int	containsSize
var	boolean	matches
var	String	containsStr
var	int	i
method	Contains	contains
method	boolean	b
method	Vector<String>	contains
method	Reader	rdr
var	LineContains	newFilter
var	Parameter[]	params
var	int	i
file	String	value
method	String	contains
file	String	REGEXP_KEY
file	String	NEGATE_KEY
file	String	CS_KEY
file	Vector<RegularExpression>	regexps
file	String	line
file	boolean	negate
file	int	regexpOptions
var	int	ch
var	int	regexpsSize
var	boolean	matches
var	RegularExpression	regexp
var	Regexp	re
var	int	i
method	RegularExpression	regExp
method	Vector<RegularExpression>	regexps
method	Reader	rdr
var	LineContainsRegExp	newFilter
method	boolean	b
method	boolean	b
var	Parameter[]	params
var	String	pattern
var	RegularExpression	regexp
var	int	i
file	boolean	reverse
method	boolean	reverse
method	String	line
file	String	PREFIX_KEY
file	String	prefix
file	String	queuedData
var	int	ch
method	String	prefix
method	Reader	rdr
var	PrefixLines	newFilter
var	Parameter[]	params
var	int	i
file	String	DEFAULT_BEGIN_TOKEN
file	String	DEFAULT_END_TOKEN
file	Hashtable<String, String>	hash
file	TreeMap<String, String>	resolvedTokens
file	boolean	resolvedTokensBuilt
file	String	readBuffer
file	String	replaceData
file	int	replaceIndex
file	String	beginToken
file	String	endToken
var	String	key
var	int	next
var	SortedMap<String, String>	possibleTokens
var	int	next
var	int	chr
method	String	beginToken
method	String	endToken
method	Resource	r
method	Token	token
method	Resource	resource
var	InputStream	in
var	Properties	props
method	Hashtable<String, String>	hash
method	Reader	rdr
var	ReplaceTokens	newFilter
var	Parameter[]	params
var	String	type
var	String	name
var	String	value
var	String	name
var	Parameter	param
method	Resource	r
var	Properties	props
var	String	key
var	String	value
var	Enumeration<?>	e
file	String	key
file	String	value
method	String	key
method	String	value
file	String	REVERSE_KEY
file	String	COMPARATOR_KEY
file	Comparator<? super String>	comparator
file	boolean	reverse
file	List<String>	lines
file	String	line
file	Iterator<String>	iterator
var	int	ch
method	Reader	rdr
var	SortFilter	newFilter
method	boolean	reverse
method	Comparator<? super String>	comparator
method	Comparator<? super String>	comparator
var	Parameter[]	params
var	String	paramName
var	String	className
var	Comparator<? super String>	comparatorInstance
var	int	i
method	String	s1
method	String	s2
file	int	readAheadCh
file	boolean	inString
file	boolean	quoted
var	int	ch
method	Reader	rdr
var	StripJavaComments	newFilter
file	String	DEFAULT_LINE_BREAKS
file	String	LINE_BREAKS_KEY
file	String	lineBreaks
var	int	ch
method	String	lineBreaks
method	Reader	rdr
var	StripLineBreaks	newFilter
var	String	userDefinedLineBreaks
var	Parameter[]	params
var	int	i
file	String	COMMENTS_KEY
file	Vector<String>	comments
file	String	line
var	int	ch
var	int	commentsSize
var	String	comment
var	int	i
method	Comment	comment
method	Vector<String>	comments
method	Reader	rdr
var	StripLineComments	newFilter
var	Parameter[]	params
var	int	i
file	String	value
method	String	comment
method	String	comment
file	String	SUFFIX_KEY
file	String	suffix
file	String	queuedData
var	int	ch
var	String	lf
method	String	suffix
method	Reader	rdr
var	SuffixLines	newFilter
var	Parameter[]	params
var	int	i
file	int	DEFAULT_TAB_LENGTH
file	String	TAB_LENGTH_KEY
file	int	tabLength
file	int	spacesRemaining
var	int	ch
method	int	tabLength
method	Reader	rdr
var	TabsToSpaces	newFilter
var	Parameter[]	params
var	int	i
file	String	LINES_KEY
file	String	SKIP_KEY
file	int	DEFAULT_NUM_LINES
file	long	lines
file	long	skip
file	boolean	completedReadAhead
file	LineTokenizer	lineTokenizer
file	String	line
file	int	linePos
file	LinkedList<String>	lineList
var	int	ch
method	long	lines
method	long	skip
method	Reader	rdr
var	TailFilter	newFilter
var	Parameter[]	params
var	int	i
method	String	line
var	long	linesToKeep
var	int	i
method	String	string
file	Vector<Filter>	filters
file	Tokenizer	tokenizer
file	String	delimOutput
file	String	line
file	int	linePos
var	Filter	filter
var	Enumeration<Filter>	e
var	int	ch
method	Reader	reader
var	TokenFilter	newFilter
method	String	delimOutput
method	LineTokenizer	tokenizer
method	StringTokenizer	tokenizer
method	FileTokenizer	tokenizer
method	Tokenizer	tokenizer
method	ReplaceString	filter
method	ContainsString	filter
method	ReplaceRegex	filter
method	ContainsRegex	filter
method	Trim	filter
method	IgnoreBlank	filter
method	DeleteCharacters	filter
method	Filter	filter
file	boolean	byLine
method	boolean	byLine
method	Reader	reader
var	TokenFilter	tokenFilter
file	String	from
file	String	to
method	String	from
method	String	to
method	String	line
var	StringBuffer	ret
var	int	start
var	int	found
file	String	contains
method	String	contains
method	String	string
file	String	from
file	String	to
file	RegularExpression	regularExpression
file	Substitution	substitution
file	boolean	initialized
file	String	flags
file	int	options
file	Regexp	regexp
method	String	from
method	String	to
method	String	flags
method	String	line
file	String	from
file	String	to
file	RegularExpression	regularExpression
file	Substitution	substitution
file	boolean	initialized
file	String	flags
file	int	options
file	Regexp	regexp
method	String	from
method	String	to
method	String	flags
method	String	string
method	String	line
method	String	line
file	String	deleteChars
method	String	deleteChars
method	String	string
var	StringBuffer	output
var	char	ch
var	int	i
method	Reader	reader
var	int	c
method	char	c
var	int	d
method	String	input
method	String	flags
file	String	lastLine
method	String	string
file	int	DEFAULT_BUFFER_SIZE
file	Reader	primaryReader
file	int	bufferSize
file	Vector<FilterChain>	filterChains
file	Project	project
method	Reader	rdr
method	Project	project
method	int	size
